DateKey,FullDateAlternateKey,DayNumberOfWeek,EnglishDayNameOfWeek,DayNumberOfMonth,MonthNumberOfYear,EnglishMonthName,CalendarQuarter,CalendarYear,FiscalYear
20050101,2005-01-01,7,Saturday,1,1,January,1,2005,2005
20050102,2005-01-02,1,Sunday,2,1,January,1,2005,2005
20050103,2005-01-03,2,Monday,3,1,January,1,2005,2005
20050104,2005-01-04,3,Tuesday,4,1,January,1,2005,2005
20050105,2005-01-05,4,Wednesday,5,1,January,1,2005,2005
20050106,2005-01-06,5,Thursday,6,1,January,1,2005,2005
20050107,2005-01-07,6,Friday,7,1,January,1,2005,2005
20050108,2005-01-08,7,Saturday,8,1,January,1,2005,2005
20050109,2005-01-09,1,Sunday,9,1,January,1,2005,2005
20050110,2005-01-10,2,Monday,10,1,January,1,2005,2005
20050111,2005-01-11,3,Tuesday,11,1,January,1,2005,2005
20050112,2005-01-12,4,Wednesday,12,1,January,1,2005,2005
20050113,2005-01-13,5,Thursday,13,1,January,1,2005,2005
20050114,2005-01-14,6,Friday,14,1,January,1,2005,2005
20050115,2005-01-15,7,Saturday,15,1,January,1,2005,2005
20050116,2005-01-16,1,Sunday,16,1,January,1,2005,2005
20050117,2005-01-17,2,Monday,17,1,January,1,2005,2005
20050118,2005-01-18,3,Tuesday,18,1,January,1,2005,2005
20050119,2005-01-19,4,Wednesday,19,1,January,1,2005,2005
20050120,2005-01-20,5,Thursday,20,1,January,1,2005,2005
20050121,2005-01-21,6,Friday,21,1,January,1,2005,2005
20050122,2005-01-22,7,Saturday,22,1,January,1,2005,2005
20050123,2005-01-23,1,Sunday,23,1,January,1,2005,2005
20050124,2005-01-24,2,Monday,24,1,January,1,2005,2005
20050125,2005-01-25,3,Tuesday,25,1,January,1,2005,2005
20050126,2005-01-26,4,Wednesday,26,1,January,1,2005,2005
20050127,2005-01-27,5,Thursday,27,1,January,1,2005,2005
20050128,2005-01-28,6,Friday,28,1,January,1,2005,2005
20050129,2005-01-29,7,Saturday,29,1,January,1,2005,2005
20050130,2005-01-30,1,Sunday,30,1,January,1,2005,2005
20050131,2005-01-31,2,Monday,31,1,January,1,2005,2005
20050201,2005-02-01,3,Tuesday,1,2,February,1,2005,2005
20050202,2005-02-02,4,Wednesday,2,2,February,1,2005,2005
20050203,2005-02-03,5,Thursday,3,2,February,1,2005,2005
20050204,2005-02-04,6,Friday,4,2,February,1,2005,2005
20050205,2005-02-05,7,Saturday,5,2,February,1,2005,2005
20050206,2005-02-06,1,Sunday,6,2,February,1,2005,2005
20050207,2005-02-07,2,Monday,7,2,February,1,2005,2005
20050208,2005-02-08,3,Tuesday,8,2,February,1,2005,2005
20050209,2005-02-09,4,Wednesday,9,2,February,1,2005,2005
20050210,2005-02-10,5,Thursday,10,2,February,1,2005,2005
20050211,2005-02-11,6,Friday,11,2,February,1,2005,2005
20050212,2005-02-12,7,Saturday,12,2,February,1,2005,2005
20050213,2005-02-13,1,Sunday,13,2,February,1,2005,2005
20050214,2005-02-14,2,Monday,14,2,February,1,2005,2005
20050215,2005-02-15,3,Tuesday,15,2,February,1,2005,2005
20050216,2005-02-16,4,Wednesday,16,2,February,1,2005,2005
20050217,2005-02-17,5,Thursday,17,2,February,1,2005,2005
20050218,2005-02-18,6,Friday,18,2,February,1,2005,2005
20050219,2005-02-19,7,Saturday,19,2,February,1,2005,2005
20050220,2005-02-20,1,Sunday,20,2,February,1,2005,2005
20050221,2005-02-21,2,Monday,21,2,February,1,2005,2005
20050222,2005-02-22,3,Tuesday,22,2,February,1,2005,2005
20050223,2005-02-23,4,Wednesday,23,2,February,1,2005,2005
20050224,2005-02-24,5,Thursday,24,2,February,1,2005,2005
20050225,2005-02-25,6,Friday,25,2,February,1,2005,2005
20050226,2005-02-26,7,Saturday,26,2,February,1,2005,2005
20050227,2005-02-27,1,Sunday,27,2,February,1,2005,2005
20050228,2005-02-28,2,Monday,28,2,February,1,2005,2005
20050301,2005-03-01,3,Tuesday,1,3,March,1,2005,2005
20050302,2005-03-02,4,Wednesday,2,3,March,1,2005,2005
20050303,2005-03-03,5,Thursday,3,3,March,1,2005,2005
20050304,2005-03-04,6,Friday,4,3,March,1,2005,2005
20050305,2005-03-05,7,Saturday,5,3,March,1,2005,2005
20050306,2005-03-06,1,Sunday,6,3,March,1,2005,2005
20050307,2005-03-07,2,Monday,7,3,March,1,2005,2005
20050308,2005-03-08,3,Tuesday,8,3,March,1,2005,2005
20050309,2005-03-09,4,Wednesday,9,3,March,1,2005,2005
20050310,2005-03-10,5,Thursday,10,3,March,1,2005,2005
20050311,2005-03-11,6,Friday,11,3,March,1,2005,2005
20050312,2005-03-12,7,Saturday,12,3,March,1,2005,2005
20050313,2005-03-13,1,Sunday,13,3,March,1,2005,2005
20050314,2005-03-14,2,Monday,14,3,March,1,2005,2005
20050315,2005-03-15,3,Tuesday,15,3,March,1,2005,2005
20050316,2005-03-16,4,Wednesday,16,3,March,1,2005,2005
20050317,2005-03-17,5,Thursday,17,3,March,1,2005,2005
20050318,2005-03-18,6,Friday,18,3,March,1,2005,2005
20050319,2005-03-19,7,Saturday,19,3,March,1,2005,2005
20050320,2005-03-20,1,Sunday,20,3,March,1,2005,2005
20050321,2005-03-21,2,Monday,21,3,March,1,2005,2005
20050322,2005-03-22,3,Tuesday,22,3,March,1,2005,2005
20050323,2005-03-23,4,Wednesday,23,3,March,1,2005,2005
20050324,2005-03-24,5,Thursday,24,3,March,1,2005,2005
20050325,2005-03-25,6,Friday,25,3,March,1,2005,2005
20050326,2005-03-26,7,Saturday,26,3,March,1,2005,2005
20050327,2005-03-27,1,Sunday,27,3,March,1,2005,2005
20050328,2005-03-28,2,Monday,28,3,March,1,2005,2005
20050329,2005-03-29,3,Tuesday,29,3,March,1,2005,2005
20050330,2005-03-30,4,Wednesday,30,3,March,1,2005,2005
20050331,2005-03-31,5,Thursday,31,3,March,1,2005,2005
20050401,2005-04-01,6,Friday,1,4,April,2,2005,2005
20050402,2005-04-02,7,Saturday,2,4,April,2,2005,2005
20050403,2005-04-03,1,Sunday,3,4,April,2,2005,2005
20050404,2005-04-04,2,Monday,4,4,April,2,2005,2005
20050405,2005-04-05,3,Tuesday,5,4,April,2,2005,2005
20050406,2005-04-06,4,Wednesday,6,4,April,2,2005,2005
20050407,2005-04-07,5,Thursday,7,4,April,2,2005,2005
20050408,2005-04-08,6,Friday,8,4,April,2,2005,2005
