ProductAlternateKey,WeightUnitMeasureCode,SizeUnitMeasureCode,EnglishProductName,StandardCost,Color,SafetyStockLevel,ReorderPoint,ListPrice,Size,SizeRange,Weight,DaysToManufacture,DealerPrice,ModelName,EnglishDescription
FR-R92R-62,LB ,CM ,"HL Road Frame - Red, 62",868.6342,Red,500,375,1431.5,62,60-62 CM,2.3,1,858.9,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
FR-R92R-44,LB ,CM ,"HL Road Frame - Red, 44",868.6342,Red,500,375,1431.5,44,42-46 CM,2.12,1,858.9,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
FR-R92R-48,LB ,CM ,"HL Road Frame - Red, 48",868.6342,Red,500,375,1431.5,48,48-52 CM,2.16,1,858.9,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
FR-R92R-52,LB ,CM ,"HL Road Frame - Red, 52",868.6342,Red,500,375,1431.5,52,48-52 CM,2.2,1,858.9,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
FR-R92R-56,LB ,CM ,"HL Road Frame - Red, 56",868.6342,Red,500,375,1431.5,56,54-58 CM,2.24,1,858.9,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
FR-R38B-58,LB ,CM ,"LL Road Frame - Black, 58",204.6251,Black,500,375,337.22,58,54-58 CM,2.46,1,202.332,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
FR-R38B-60,LB ,CM ,"LL Road Frame - Black, 60",204.6251,Black,500,375,337.22,60,60-62 CM,2.48,1,202.332,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
FR-R38B-62,LB ,CM ,"LL Road Frame - Black, 62",204.6251,Black,500,375,337.22,62,60-62 CM,2.5,1,202.332,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
FR-R38B-44,LB ,CM ,"LL Road Frame - Black, 44",204.6251,Black,500,375,337.22,44,42-46 CM,2.32,1,202.332,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
FR-R38B-48,LB ,CM ,"LL Road Frame - Black, 48",204.6251,Black,500,375,337.22,48,48-52 CM,2.36,1,202.332,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
FR-R38B-52,LB ,CM ,"LL Road Frame - Black, 52",204.6251,Black,500,375,337.22,52,48-52 CM,2.4,1,202.332,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
FR-M94S-42,LB ,CM ,"HL Mountain Frame - Silver, 42",747.2002,Silver,500,375,1364.5,42,42-46 CM,2.72,1,818.7,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
FR-M94S-46,LB ,CM ,"HL Mountain Frame - Silver, 46",747.2002,Silver,500,375,1364.5,46,42-46 CM,2.84,1,818.7,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
FR-M94B-42,LB ,CM ,"HL Mountain Frame - Black, 42",739.041,Black,500,375,1349.6,42,42-46 CM,2.72,1,809.76,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
FR-M94B-46,LB ,CM ,"HL Mountain Frame - Black, 46",739.041,Black,500,375,1349.6,46,42-46 CM,2.84,1,809.76,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
FR-M94B-38,LB ,CM ,"HL Mountain Frame - Black, 38",739.041,Black,500,375,1349.6,38,38-40 CM,2.68,2,809.76,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
FR-M94S-38,LB ,CM ,"HL Mountain Frame - Silver, 38",747.2002,Silver,500,375,1364.5,38,38-40 CM,2.68,2,818.7,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
BK-M68S-38,LB ,CM ,"Mountain-200 Silver, 38",1265.6195,Silver,100,75,2319.99,38,38-40 CM,23.35,4,1391.994,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.
BK-M68S-42,LB ,CM ,"Mountain-200 Silver, 42",1265.6195,Silver,100,75,2319.99,42,42-46 CM,23.77,4,1391.994,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.
BK-M68S-46,LB ,CM ,"Mountain-200 Silver, 46",1265.6195,Silver,100,75,2319.99,46,42-46 CM,24.13,4,1391.994,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.
BK-M68B-38,LB ,CM ,"Mountain-200 Black, 38",1251.9813,Black,100,75,2294.99,38,38-40 CM,23.35,4,1376.994,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.
BK-M68B-42,LB ,CM ,"Mountain-200 Black, 42",1251.9813,Black,100,75,2294.99,42,42-46 CM,23.77,4,1376.994,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.
BK-M68B-46,LB ,CM ,"Mountain-200 Black, 46",1251.9813,Black,100,75,2294.99,46,42-46 CM,24.13,4,1376.994,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.
BK-R89R-58,LB ,CM ,"Road-250 Red, 58",1554.9479,Red,100,75,2443.35,58,54-58 CM,15.79,4,1466.01,Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads."
BK-R89B-44,LB ,CM ,"Road-250 Black, 44",1554.9479,Black,100,75,2443.35,44,42-46 CM,14.77,4,1466.01,Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads."
BK-R89B-48,LB ,CM ,"Road-250 Black, 48",1554.9479,Black,100,75,2443.35,48,48-52 CM,15.13,4,1466.01,Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads."
BK-R89B-52,LB ,CM ,"Road-250 Black, 52",1554.9479,Black,100,75,2443.35,52,48-52 CM,15.42,4,1466.01,Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads."
BK-R89B-58,LB ,CM ,"Road-250 Black, 58",1554.9479,Black,100,75,2443.35,58,54-58 CM,15.68,4,1466.01,Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads."
BK-R64Y-38,LB ,CM ,"Road-550-W Yellow, 38",713.0798,Yellow,100,75,1120.49,38,38-40 CM,17.35,4,672.294,Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing."
BK-R64Y-40,LB ,CM ,"Road-550-W Yellow, 40",713.0798,Yellow,100,75,1120.49,40,38-40 CM,17.77,4,672.294,Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing."
BK-R64Y-42,LB ,CM ,"Road-550-W Yellow, 42",713.0798,Yellow,100,75,1120.49,42,42-46 CM,18.13,4,672.294,Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing."
BK-R64Y-44,LB ,CM ,"Road-550-W Yellow, 44",713.0798,Yellow,100,75,1120.49,44,42-46 CM,18.42,4,672.294,Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing."
BK-R64Y-48,LB ,CM ,"Road-550-W Yellow, 48",713.0798,Yellow,100,75,1120.49,48,48-52 CM,18.68,4,672.294,Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing."
