ProductAlternateKey,DateKey,UnitCost,UnitsBalance,InventoryValue
FR-R92R-62,20050630,538.32,438,235784.16000000003
FR-R92R-44,20050630,538.32,438,235784.16000000003
FR-R92R-48,20050630,538.63,438,235919.94
FR-R92R-52,20050630,826.93,438,362195.33999999997
FR-R92R-56,20050630,825.2,438,361437.60000000003
FR-R38B-58,20050630,126.81,438,55542.78
FR-R38B-60,20050630,126.88,438,55573.439999999995
FR-R38B-62,20050630,194.39,438,85142.81999999999
FR-R38B-44,20050630,126.88,438,55573.439999999995
FR-R38B-48,20050630,194.39,438,85142.81999999999
FR-R38B-52,20050630,126.81,438,55542.78
FR-M94S-42,20050630,424.32,438,185852.16
FR-M94S-46,20050630,424.32,438,185852.16
FR-M94B-42,20050630,419.69,438,183824.22
FR-M94B-46,20050630,702.08,438,307511.04000000004
FR-M94B-38,20050630,430.01,438,188344.38
FR-M94S-38,20050630,424.32,438,185852.16
BK-M68S-38,20050630,721.46,88,63488.48
BK-M68S-42,20050630,721.46,88,63488.48
BK-M68S-46,20050630,721.46,88,63488.48
BK-M68B-38,20050630,713.69,88,62804.72
BK-M68B-42,20050630,713.69,88,62804.72
BK-M68B-46,20050630,713.69,88,62804.72
BK-R89R-58,20050630,918.84,88,80857.92
BK-R89B-44,20050630,918.84,88,80857.92
BK-R89B-48,20050630,822.39,88,72370.31999999999
BK-R89B-52,20050630,770.85,88,67834.8
BK-R89B-58,20050630,918.84,88,80857.92
BK-R64Y-38,20050630,421.36,88,37079.68
BK-R64Y-40,20050630,421.36,88,37079.68
BK-R64Y-42,20050630,421.36,88,37079.68
BK-R64Y-44,20050630,421.36,88,37079.68
BK-R64Y-48,20050630,408.42,88,35940.96
FR-R72Y-38,20050630,223.69,438,97976.22
FR-R72Y-40,20050630,223.81,438,98028.78
FR-R72Y-42,20050630,342.89,438,150185.82
FR-R72Y-44,20050630,185.37,438,81192.06
FR-R72Y-48,20050630,223.69,438,97976.22
FR-R92B-62,20050630,825.2,438,361437.60000000003
FR-R92B-44,20050630,538.32,438,235784.16000000003
FR-R92B-48,20050630,538.63,438,235919.94
FR-R92B-52,20050630,825.2,438,361437.60000000003
FR-T98Y-60,20050630,312.19,438,136739.22
FR-T67Y-62,20050630,103.68,438,45411.840000000004
FR-T98Y-46,20050630,331.23,438,145078.74000000002
FR-T98Y-50,20050630,316.72,438,138723.36000000002
FR-T98Y-54,20050630,302.42,438,132459.96000000002
FR-T98U-46,20050630,312.85,438,137028.30000000002
FR-T98U-50,20050630,312.85,438,137028.30000000002
FR-T98U-54,20050630,307.06,438,134492.28
FR-T98U-60,20050630,312.19,438,136739.22
FR-T67U-50,20050630,103.68,438,45411.840000000004
FR-T67U-54,20050630,103.68,438,45411.840000000004
FR-T67U-58,20050630,103.9,438,45508.200000000004
FR-T67U-62,20050630,103.9,438,45508.200000000004
FR-T67Y-44,20050630,103.68,438,45411.840000000004
FR-T67Y-50,20050630,103.68,438,45411.840000000004
FR-T67Y-54,20050630,190.05,438,83241.90000000001
FR-T67Y-58,20050630,103.9,438,45508.200000000004
FR-T67U-44,20050630,103.9,438,45508.200000000004
FR-M63S-40,20050630,113.22,438,49590.36
FR-M63S-42,20050630,113.22,438,49590.36
FR-M63S-46,20050630,113.22,438,49590.36
FR-M21S-42,20050630,82.11,438,35964.18
