DateKey,ProductAlternateKey,UnitCost,UnitsIn,InventoryInValue
20070702,BK-M18B-40,199.56,22,4390.32
20070702,BK-M18B-42,158.08,17,2687.36
20070702,BK-M18B-44,206.34,31,6396.54
20070702,BK-M18B-48,172.99,43,7438.570000000001
20070702,BK-M18S-40,76.16,36,2741.7599999999998
20070702,BK-M18S-42,64.66,31,2004.4599999999998
20070702,BK-M18S-44,80.58,26,2095.08
20070702,BK-M18S-48,77.97,29,2261.13
20070702,BK-M18S-52,62.26,51,3175.2599999999998
20070702,BK-M38S-38,316.02,27,8532.539999999999
20070702,BK-M38S-40,268.86,19,5108.34
20070702,BK-M38S-42,316.14,8,2529.12
20070702,BK-M38S-46,293.66,21,6166.860000000001
20070702,BK-M68B-38,693.28,69,47836.32
20070702,BK-M68B-42,722.15,70,50550.5
20070702,BK-M68B-46,676.93,49,33169.57
20070702,BK-M68S-38,725.78,68,49353.04
20070702,BK-M68S-42,716.41,49,35104.09
20070702,BK-M68S-46,714.6,53,37873.8
20070702,BK-R19B-48,188.17,113,21263.21
20070702,BK-R19B-52,217.76,93,20251.68
20070702,BK-R19B-58,254.83,40,10193.2
20070702,BK-R64Y-38,423.91,49,20771.59
20070702,BK-R64Y-40,489.61,59,28886.99
20070702,BK-R64Y-42,539.35,27,14562.45
20070702,BK-R64Y-44,444.62,16,7113.92
20070702,BK-R64Y-48,415.58,50,20779.0
20070702,BK-R79Y-40,693.63,113,78380.19
20070702,BK-R79Y-42,516.45,63,32536.350000000002
20070702,BK-R79Y-44,682.03,24,16368.72
20070702,BK-R79Y-48,621.69,119,73981.11
20070702,BK-R89B-44,1008.15,40,40326.0
20070702,BK-R89B-48,805.5,52,41886.0
20070702,BK-R89B-52,849.19,38,32269.22
20070702,BK-R89B-58,923.58,9,8312.220000000001
20070702,BK-R89R-58,995.56,15,14933.4
20070702,BK-T18U-44,188.7,14,2641.7999999999997
20070702,BK-T18U-50,158.72,51,8094.72
20070702,BK-T18U-54,172.42,38,6551.959999999999
20070702,BK-T18U-58,187.59,32,6002.88
20070702,BK-T18Y-44,178.45,59,10528.55
20070702,BK-T18Y-50,181.58,43,7807.9400000000005
20070702,BK-T18Y-54,168.93,33,5574.6900000000005
20070702,BK-T18Y-58,170.78,17,2903.26
20070702,BK-T18Y-62,168.34,58,9763.72
20070702,BK-T44U-46,405.3,31,12564.300000000001
20070702,BK-T44U-54,375.96,56,21053.76
20070702,BK-T44U-60,390.17,57,22239.690000000002
20070702,BK-T79U-46,812.28,70,56859.6
20070702,BK-T79U-50,682.49,27,18427.23
20070702,BK-T79U-60,740.07,69,51064.83
