DateKey,ProductAlternateKey,UnitCost,MovementType,Units,MovementValue
20070702,BK-M18B-40,199.56,IN,22,4390.32
20070702,BK-M18B-42,158.08,IN,17,2687.36
20070702,BK-M18B-44,206.34,IN,31,6396.54
20070702,BK-M18B-48,172.99,IN,43,7438.570000000001
20070702,BK-M18S-40,76.16,IN,36,2741.7599999999998
20070702,BK-M18S-42,64.66,IN,31,2004.4599999999998
20070702,BK-M18S-44,80.58,IN,26,2095.08
20070702,BK-M18S-48,77.97,IN,29,2261.13
20070702,BK-M18S-52,62.26,IN,51,3175.2599999999998
20070702,BK-M38S-38,316.02,IN,27,8532.539999999999
20070702,BK-M38S-40,268.86,IN,19,5108.34
20070702,BK-M38S-42,316.14,IN,8,2529.12
20070702,BK-M38S-46,293.66,IN,21,6166.860000000001
20070702,BK-M68B-38,693.28,IN,69,47836.32
20070702,BK-M68B-42,722.15,IN,70,50550.5
20070702,BK-M68B-46,676.93,IN,49,33169.57
20070702,BK-M68S-38,725.78,IN,68,49353.04
20070702,BK-M68S-42,716.41,IN,49,35104.09
20070702,BK-M68S-46,714.6,IN,53,37873.8
20070702,BK-R19B-48,188.17,IN,113,21263.21
20070702,BK-R19B-52,217.76,IN,93,20251.68
20070702,BK-R19B-58,254.83,IN,40,10193.2
20070702,BK-R64Y-38,423.91,IN,49,20771.59
20070702,BK-R64Y-40,489.61,IN,59,28886.99
20070702,BK-R64Y-42,539.35,IN,27,14562.45
20070702,BK-R64Y-44,444.62,IN,16,7113.92
20070702,BK-R64Y-48,415.58,IN,50,20779.0
20070702,BK-R79Y-40,693.63,IN,113,78380.19
20070702,BK-R79Y-42,516.45,IN,63,32536.350000000002
20070702,BK-R79Y-44,682.03,IN,24,16368.72
20070702,BK-R79Y-48,621.69,IN,119,73981.11
20070702,BK-R89B-44,1008.15,IN,40,40326.0
20070702,BK-R89B-48,805.5,IN,52,41886.0
20070702,BK-R89B-52,849.19,IN,38,32269.22
20070702,BK-R89B-58,923.58,IN,9,8312.220000000001
20070702,BK-R89R-58,995.56,IN,15,14933.4
20070702,BK-T18U-44,188.7,IN,14,2641.7999999999997
20070702,BK-T18U-50,158.72,IN,51,8094.72
20070702,BK-T18U-54,172.42,IN,38,6551.959999999999
20070702,BK-T18U-58,187.59,IN,32,6002.88
20070702,BK-T18Y-44,178.45,IN,59,10528.55
20070702,BK-T18Y-50,181.58,IN,43,7807.9400000000005
20070702,BK-T18Y-54,168.93,IN,33,5574.6900000000005
20070702,BK-T18Y-58,170.78,IN,17,2903.26
20070702,BK-T18Y-62,168.34,IN,58,9763.72
20070702,BK-T44U-46,405.3,IN,31,12564.300000000001
20070702,BK-T44U-54,375.96,IN,56,21053.76
20070702,BK-T44U-60,390.17,IN,57,22239.690000000002
20070702,BK-T79U-46,812.28,IN,70,56859.6
20070702,BK-T79U-50,682.49,IN,27,18427.23
20070702,BK-T79U-60,740.07,IN,69,51064.83
20070702,BK-T79Y-46,472.61,IN,73,34500.53
20070702,BK-T79Y-50,628.76,IN,36,22635.36
20070702,BK-T79Y-60,472.24,IN,45,21250.8
20070702,FR-M63S-40,115.87,IN,118,13672.66
20070702,FR-R38B-52,141.87,IN,94,13335.78
20070702,FR-R72Y-44,185.83,IN,86,15981.380000000001
20070704,BK-R19B-44,213.57,IN,21,4484.97
20070706,BK-R89B-44,1000.6,IN,15,15009.0
20070706,BK-T79U-54,729.71,IN,9,6567.39
20070707,BK-M38S-40,266.92,IN,20,5338.400000000001
20070708,BK-R64Y-42,542.59,IN,20,10851.800000000001
20070712,BK-R79Y-42,517.01,IN,14,7238.139999999999
20070713,BK-R64Y-48,418.09,IN,10,4180.9
20070716,BK-M38S-42,317.26,IN,25,7931.5
20070717,BK-R19B-48,187.15,IN,21,3930.15
20070719,BK-T79Y-60,466.87,IN,5,2334.35
20070721,BK-M68S-38,712.86,IN,21,14970.06
20070721,BK-R19B-52,222.02,IN,8,1776.16
20070721,BK-R89R-58,981.36,IN,21,20608.56
20070723,BK-R19B-58,259.28,IN,21,5444.879999999999
20070723,BK-R89B-58,917.23,IN,7,6420.610000000001
20070724,BK-R89B-48,826.73,IN,26,21494.98
20070725,BK-M68B-46,682.22,IN,15,10233.300000000001
20070725,BK-T18U-50,161.64,IN,19,3071.16
20070726,BK-R89B-52,867.38,IN,8,6939.04
20070727,BK-M68B-38,708.63,IN,10,7086.3
20070729,BK-M68S-42,733.48,IN,22,16136.560000000001
20070729,BK-R79Y-48,616.48,IN,6,3698.88
20070730,BK-R89B-44,1003.01,IN,19,19057.19
20070731,BK-T79Y-46,463.52,IN,20,9270.4
20070802,BK-M18B-40,200.37,IN,15,3005.55
20070802,BK-M18B-42,159.74,IN,57,9105.18
20070802,BK-M18B-44,205.3,IN,53,10880.900000000001
20070802,BK-M18B-48,167.76,IN,46,7716.959999999999
20070802,BK-M18B-52,211.69,IN,40,8467.6
20070802,BK-M18S-40,77.08,IN,52,4008.16
20070802,BK-M18S-42,64.77,IN,58,3756.66
