DateKey,ProductAlternateKey,UnitCost,UnitsOut,InventoryOutValue
20070701,BK-M18B-40,199.88,21,4197.48
20070701,BK-M18B-42,158.81,24,3811.44
20070701,BK-M18B-44,206.55,19,3924.4500000000003
20070701,BK-M18B-48,173.34,38,6586.92
20070701,BK-M18B-52,214.3,10,2143.0
20070701,BK-M18S-40,75.88,36,2731.68
20070701,BK-M18S-42,64.44,34,2190.96
20070701,BK-M18S-44,80.37,24,1928.88
20070701,BK-M18S-48,77.97,24,1871.28
20070701,BK-M18S-52,62.11,42,2608.62
20070701,BK-M38S-38,316.49,24,7595.76
20070701,BK-M38S-40,268.83,31,8333.73
20070701,BK-M38S-42,316.46,20,6329.2
20070701,BK-M38S-46,293.63,20,5872.6
20070701,BK-M68B-38,693.42,62,42992.04
20070701,BK-M68B-42,720.78,61,43967.58
20070701,BK-M68B-46,679.78,38,25831.64
20070701,BK-M68S-38,726.36,62,45034.32
20070701,BK-M68S-42,719.28,43,30929.039999999997
20070701,BK-M68S-46,718.12,51,36624.12
20070701,BK-R19B-44,213.53,12,2562.36
20070701,BK-R19B-48,188.97,118,22298.46
20070701,BK-R19B-52,218.42,97,21186.739999999998
20070701,BK-R19B-58,255.13,44,11225.72
20070701,BK-R64Y-38,422.81,48,20294.88
20070701,BK-R64Y-40,489.46,50,24473.0
20070701,BK-R64Y-42,536.78,38,20397.64
20070701,BK-R64Y-44,446.04,15,6690.6
20070701,BK-R64Y-48,414.13,61,25261.93
20070701,BK-R79Y-40,697.04,112,78068.48
20070701,BK-R79Y-42,517.13,74,38267.62
20070701,BK-R79Y-44,682.51,23,15697.73
20070701,BK-R79Y-48,622.5,128,79680.0
20070701,BK-R89B-44,1005.24,52,52272.48
20070701,BK-R89B-48,809.46,54,43710.840000000004
20070701,BK-R89B-52,847.49,37,31357.13
20070701,BK-R89B-58,921.74,16,14747.84
20070701,BK-R89R-58,997.45,16,15959.2
20070701,BK-T18U-44,188.04,20,3760.7999999999997
20070701,BK-T18U-50,157.95,62,9792.9
20070701,BK-T18U-54,171.65,34,5836.1
20070701,BK-T18U-58,186.77,25,4669.25
20070701,BK-T18U-62,196.22,9,1765.98
20070701,BK-T18Y-44,177.68,56,9950.08
20070701,BK-T18Y-50,181.67,33,5995.11
20070701,BK-T18Y-54,168.44,33,5558.5199999999995
20070701,BK-T18Y-58,171.14,17,2909.3799999999997
20070701,BK-T18Y-62,167.85,50,8392.5
20070701,BK-T44U-46,403.44,29,11699.76
20070701,BK-T44U-50,393.16,7,2752.1200000000003
20070701,BK-T44U-54,374.27,58,21707.66
20070701,BK-T44U-60,389.39,45,17522.55
20070701,BK-T79U-46,808.89,58,46915.62
20070701,BK-T79U-50,680.65,28,19058.2
20070701,BK-T79U-54,730.08,13,9491.04
20070701,BK-T79U-60,737.71,57,42049.47
20070701,BK-T79Y-46,472.28,82,38726.96
20070701,BK-T79Y-50,626.38,32,20044.16
20070701,BK-T79Y-54,620.51,6,3723.06
20070701,BK-T79Y-60,471.63,55,25939.65
20070701,FR-M21B-40,129.7,1,129.7
20070701,FR-M21B-42,69.25,38,2631.5
20070701,FR-M21B-44,77.31,63,4870.53
20070701,FR-M21B-48,92.02,33,3036.66
20070701,FR-M21B-52,121.26,2,242.52
20070701,FR-M21S-40,89.55,33,2955.15
20070701,FR-M21S-42,79.09,56,4429.04
20070701,FR-M21S-44,98.44,29,2854.7599999999998
20070701,FR-M21S-48,91.17,7,638.19
20070701,FR-M21S-52,77.63,44,3415.72
20070701,FR-M63S-38,207.8,1,207.8
20070701,FR-M63S-40,115.76,94,10881.44
20070701,FR-M63S-42,119.89,53,6354.17
20070701,FR-M63S-46,122.04,31,3783.2400000000002
20070701,FR-M94B-38,411.8,14,5765.2
20070701,FR-M94B-42,395.71,45,17806.95
20070701,FR-M94S-38,430.32,52,22376.64
20070701,FR-M94S-42,381.77,23,8780.71
20070701,FR-M94S-46,429.61,17,7303.37
20070701,FR-R38B-44,127.24,24,3053.7599999999998
20070701,FR-R38B-52,142.22,72,10239.84
20070701,FR-R38B-58,122.64,45,5518.8
20070701,FR-R38B-60,128.67,17,2187.39
20070701,FR-R72Y-38,230.84,43,9926.12
20070701,FR-R72Y-40,258.76,23,5951.48
20070701,FR-R72Y-44,186.38,81,15096.779999999999
20070701,FR-R72Y-48,233.23,44,10262.119999999999
20070701,FR-R92B-44,541.0,34,18394.0
20070701,FR-R92B-48,570.66,20,11413.199999999999
20070701,FR-R92R-44,479.65,32,15348.8
20070701,FR-R92R-48,513.08,16,8209.28
20070701,FR-R92R-62,471.6,27,12733.2
20070701,FR-T67U-44,105.37,2,210.74
20070701,FR-T67U-50,104.14,24,2499.36
20070701,FR-T67U-54,123.83,19,2352.77
20070701,FR-T67U-62,101.98,1,101.98
20070701,FR-T67Y-44,108.05,25,2701.25
20070701,FR-T67Y-50,102.17,15,1532.55
20070701,FR-T67Y-58,119.48,5,597.4
20070701,FR-T67Y-62,114.04,38,4333.52
20070701,FR-T98U-46,324.06,12,3888.7200000000003
20070701,FR-T98U-50,288.11,18,5185.9800000000005
20070701,FR-T98U-54,308.4,57,17578.8
20070701,FR-T98U-60,335.03,43,14406.289999999999
20070701,FR-T98Y-46,324.87,14,4548.18
20070701,FR-T98Y-50,348.9,16,5582.4
20070701,FR-T98Y-54,321.86,24,7724.64
20070701,FR-T98Y-60,307.46,29,8916.34
20070702,BK-M38S-40,268.86,1,268.86
20070702,BK-M68B-46,676.93,5,3384.6499999999996
20070702,BK-M68S-46,714.6,1,714.6
20070702,BK-R19B-44,213.51,1,213.51
20070702,BK-R19B-52,217.76,1,217.76
20070702,BK-R64Y-48,415.58,1,415.58
20070702,BK-R79Y-40,693.63,1,693.63
20070702,BK-R89B-48,805.5,1,805.5
20070702,BK-T44U-50,393.24,1,393.24
20070702,BK-T79U-46,812.28,1,812.28
20070703,BK-M18B-40,199.46,1,199.46
20070703,BK-M18S-44,80.99,1,80.99
20070703,BK-M68B-42,722.59,3,2167.77
20070703,BK-M68S-38,728.54,1,728.54
20070703,BK-M68S-42,713.76,2,1427.52
20070703,BK-M68S-46,711.95,1,711.95
20070703,BK-R19B-44,213.36,1,213.36
20070703,BK-R19B-48,189.09,1,189.09
20070703,BK-R19B-58,255.72,1,255.72
20070703,BK-R64Y-40,490.68,1,490.68
20070703,BK-R64Y-48,417.12,1,417.12
20070703,BK-R89B-44,1006.34,1,1006.34
20070703,BK-R89R-58,993.57,2,1987.14
20070703,BK-T18U-54,172.7,1,172.7
20070703,BK-T44U-46,404.94,1,404.94
20070703,BK-T44U-60,391.3,1,391.3
20070703,BK-T79U-60,738.15,1,738.15
20070704,BK-M68B-38,688.79,3,2066.37
20070704,BK-M68B-42,725.55,1,725.55
20070704,BK-M68B-46,676.12,1,676.12
20070704,BK-M68S-38,725.11,2,1450.22
20070704,BK-M68S-42,715.47,1,715.47
20070704,BK-M68S-46,710.24,1,710.24
20070704,BK-R19B-44,213.57,1,213.57
20070704,BK-R19B-48,189.98,1,189.98
20070704,BK-R19B-52,218.22,1,218.22
20070704,BK-R19B-58,254.49,1,254.49
20070704,BK-R64Y-44,440.93,1,440.93
20070704,BK-R79Y-42,517.84,1,517.84
20070704,BK-R79Y-48,624.99,1,624.99
20070704,BK-R89B-52,852.84,2,1705.68
20070704,BK-R89B-58,915.93,1,915.93
20070704,BK-T18Y-58,170.86,1,170.86
20070704,BK-T79U-50,681.26,1,681.26
20070704,BK-T79Y-50,630.9,2,1261.8
20070705,BK-M18S-42,64.12,1,64.12
20070705,BK-M68B-42,728.67,1,728.67
20070705,BK-M68B-46,675.3,1,675.3
20070705,BK-M68S-38,724.1,1,724.1
20070705,BK-R64Y-38,423.57,1,423.57
20070705,BK-R64Y-42,541.13,2,1082.26
20070705,BK-R89B-44,1004.61,1,1004.61
20070705,BK-R89B-48,813.82,1,813.82
20070705,BK-R89B-52,855.06,2,1710.12
20070705,BK-R89R-58,993.06,1,993.06
20070705,BK-T44U-50,390.89,1,390.89
20070705,BK-T79U-46,804.19,1,804.19
20070705,BK-T79U-54,727.02,1,727.02
20070706,BK-M38S-40,266.63,1,266.63
20070706,BK-M68B-38,690.58,1,690.58
20070706,BK-M68B-42,726.7,1,726.7
20070706,BK-M68B-46,672.94,2,1345.88
20070706,BK-T79Y-60,471.34,1,471.34
20070707,BK-M68B-38,690.16,3,2070.48
20070707,BK-M68B-42,723.58,1,723.58
20070707,BK-M68B-46,674.69,1,674.69
20070707,BK-R19B-44,213.87,1,213.87
20070707,BK-R64Y-42,541.45,1,541.45
20070707,BK-R79Y-42,516.39,1,516.39
20070707,BK-R79Y-44,690.81,2,1381.62
20070707,BK-R89B-44,1003.1,1,1003.1
20070707,BK-R89B-48,811.95,1,811.95
20070707,BK-R89B-52,855.48,1,855.48
20070707,BK-R89R-58,988.69,2,1977.38
20070707,BK-T18U-54,172.19,1,172.19
20070707,BK-T18Y-50,180.64,1,180.64
20070708,BK-M18S-40,76.47,1,76.47
20070708,BK-M38S-40,266.02,1,266.02
20070708,BK-M68B-38,688.23,1,688.23
20070708,BK-M68B-46,671.65,1,671.65
20070708,BK-M68S-38,719.76,2,1439.52
20070708,BK-M68S-42,717.18,1,717.18
20070708,BK-M68S-46,711.09,2,1422.18
20070708,BK-R19B-48,189.17,1,189.17
20070708,BK-R19B-52,218.56,1,218.56
20070708,BK-R64Y-38,422.85,1,422.85
20070708,BK-R89B-44,1006.51,1,1006.51
20070708,BK-T79U-46,802.01,1,802.01
20070708,BK-T79U-50,678.6,1,678.6
20070709,BK-M18B-44,205.41,1,205.41
20070709,BK-M18B-48,171.57,1,171.57
20070709,BK-M18S-42,64.52,1,64.52
20070709,BK-M38S-38,318.13,1,318.13
20070709,BK-M68B-42,723.43,1,723.43
20070709,BK-M68S-38,719.04,2,1438.08
20070709,BK-M68S-42,718.33,2,1436.66
20070709,BK-R19B-44,212.91,1,212.91
20070709,BK-R19B-48,189.34,1,189.34
20070709,BK-R19B-52,218.4,1,218.4
20070709,BK-R64Y-38,422.09,1,422.09
20070709,BK-R64Y-44,443.13,1,443.13
20070709,BK-R79Y-40,700.78,2,1401.56
20070709,BK-R89B-48,811.93,1,811.93
20070709,BK-T44U-50,390.85,1,390.85
20070709,BK-T79U-50,681.52,1,681.52
20070709,BK-T79Y-46,466.03,1,466.03
20070709,BK-T79Y-60,471.86,1,471.86
20070710,BK-M68S-38,721.41,3,2164.23
20070710,BK-R19B-44,212.18,3,636.54
20070710,BK-R19B-48,188.94,1,188.94
20070710,BK-R64Y-38,420.52,1,420.52
20070710,BK-R64Y-42,547.16,1,547.16
20070710,BK-R89B-44,1004.69,1,1004.69
20070710,BK-R89B-48,810.31,1,810.31
20070710,BK-T18Y-58,174.24,2,348.48
20070710,BK-T44U-50,391.51,1,391.51
20070710,BK-T79Y-60,470.06,1,470.06
20070711,BK-M38S-42,315.65,1,315.65
20070711,BK-M68B-38,692.92,2,1385.84
20070711,BK-M68B-42,721.47,3,2164.41
20070711,BK-M68B-46,677.31,3,2031.9299999999998
20070711,BK-M68S-42,718.1,1,718.1
20070711,BK-R19B-52,218.69,1,218.69
20070711,BK-R19B-58,254.89,1,254.89
20070711,BK-R64Y-38,419.43,2,838.86
20070711,BK-R64Y-40,495.5,1,495.5
20070711,BK-R79Y-42,517.99,1,517.99
20070711,BK-R89B-48,812.17,2,1624.34
20070711,BK-R89B-52,859.84,2,1719.68
20070711,BK-R89B-58,910.34,1,910.34
20070711,BK-T44U-54,371.35,2,742.7
20070712,BK-M18B-40,200.19,1,200.19
20070712,BK-M38S-46,294.82,1,294.82
20070712,BK-M68B-38,695.62,1,695.62
20070712,BK-M68S-46,713.21,1,713.21
20070712,BK-R19B-44,212.25,1,212.25
20070712,BK-R19B-48,189.2,1,189.2
20070712,BK-R19B-52,218.51,1,218.51
20070712,BK-R19B-58,255.07,1,255.07
20070712,BK-R64Y-48,416.22,1,416.22
20070712,BK-R79Y-42,517.01,1,517.01
20070712,BK-R79Y-48,613.69,1,613.69
20070712,BK-R89B-48,812.26,1,812.26
20070712,BK-R89R-58,980.7,1,980.7
20070712,BK-T79U-46,797.68,1,797.68
20070712,BK-T79U-54,720.83,1,720.83
20070713,BK-M18B-42,157.82,1,157.82
20070713,BK-M18S-40,76.86,1,76.86
20070713,BK-M38S-38,317.78,1,317.78
20070713,BK-M68B-38,698.89,1,698.89
20070713,BK-M68B-42,722.84,2,1445.68
20070713,BK-M68B-46,683.01,1,683.01
20070713,BK-M68S-38,717.81,1,717.81
20070713,BK-M68S-42,722.99,2,1445.98
20070713,BK-R19B-58,255.56,1,255.56
20070713,BK-R64Y-40,495.64,1,495.64
20070713,BK-R89B-58,907.97,1,907.97
20070713,BK-R89R-58,983.94,2,1967.88
20070713,BK-T18U-50,160.52,1,160.52
20070713,BK-T44U-54,370.23,1,370.23
20070714,BK-M38S-40,266.19,1,266.19
20070714,BK-M68B-38,697.35,1,697.35
20070714,BK-M68S-38,717.59,1,717.59
20070714,BK-M68S-42,725.66,1,725.66
20070714,BK-R19B-48,188.09,1,188.09
20070714,BK-R19B-58,254.89,2,509.78
20070714,BK-R64Y-48,416.17,1,416.17
20070714,BK-R89B-44,1011.12,2,2022.24
20070714,BK-R89B-48,816.56,1,816.56
20070714,BK-R89B-58,908.88,1,908.88
20070714,BK-R89R-58,985.71,1,985.71
20070714,BK-T18U-54,173.9,1,173.9
20070714,BK-T18U-58,187.81,1,187.81
20070714,BK-T79U-46,796.24,1,796.24
20070715,BK-M18B-44,205.36,1,205.36
20070715,BK-M18B-52,213.81,1,213.81
20070715,BK-M18S-42,64.25,1,64.25
20070715,BK-M38S-42,317.61,1,317.61
20070715,BK-M68B-42,718.51,1,718.51
20070715,BK-M68B-46,686.5,3,2059.5
20070715,BK-M68S-38,715.65,1,715.65
20070715,BK-M68S-42,725.23,1,725.23
20070715,BK-R19B-44,211.93,1,211.93
20070715,BK-R19B-52,219.8,1,219.8
20070715,BK-R19B-58,255.73,1,255.73
20070715,BK-R64Y-40,496.58,1,496.58
20070715,BK-R89B-48,818.77,1,818.77
20070715,BK-R89B-58,910.88,1,910.88
20070715,BK-R89R-58,984.13,1,984.13
20070715,BK-T18U-44,188.45,1,188.45
20070715,BK-T79Y-46,465.64,1,465.64
20070716,BK-M68B-42,720.45,2,1440.9
20070716,BK-M68B-46,683.82,1,683.82
20070716,BK-M68S-38,717.01,1,717.01
20070716,BK-M68S-46,717.27,1,717.27
20070716,BK-R19B-44,212.9,1,212.9
20070716,BK-R19B-48,187.62,2,375.24
20070716,BK-R64Y-38,417.54,1,417.54
20070716,BK-R89B-52,865.26,2,1730.52
20070716,BK-T18U-58,187.75,1,187.75
20070716,BK-T44U-50,393.04,1,393.04
20070716,BK-T79U-60,738.78,1,738.78
20070717,BK-M68B-46,686.69,1,686.69
20070717,BK-M68S-38,716.87,3,2150.61
20070717,BK-M68S-46,716.05,2,1432.1
20070717,BK-R19B-48,187.15,1,187.15
20070717,BK-R19B-52,219.99,1,219.99
20070717,BK-R64Y-40,494.5,1,494.5
20070717,BK-R64Y-42,551.59,1,551.59
20070717,BK-R79Y-44,691.54,1,691.54
20070717,BK-R89B-44,1014.05,1,1014.05
20070717,BK-R89B-52,868.72,1,868.72
20070717,BK-T44U-54,371.89,1,371.89
20070717,BK-T44U-60,395.69,1,395.69
20070717,BK-T79U-50,686.69,1,686.69
20070718,BK-M68B-38,699.86,1,699.86
20070718,BK-R64Y-38,418.54,1,418.54
20070718,BK-R79Y-40,704.33,2,1408.66
20070718,BK-R79Y-44,690.3,1,690.3
20070718,BK-R89B-52,872.28,1,872.28
20070718,BK-R89B-58,911.68,1,911.68
20070718,BK-T18U-50,161.19,1,161.19
20070718,BK-T79Y-60,466.31,1,466.31
20070719,BK-M68B-38,702.31,1,702.31
20070719,BK-M68B-46,686.97,1,686.97
20070719,BK-R19B-44,213.66,1,213.66
20070719,BK-R19B-48,187.9,2,375.8
20070719,BK-R19B-52,220.08,1,220.08
20070719,BK-R19B-58,258.17,1,258.17
20070719,BK-R64Y-44,441.77,1,441.77
20070719,BK-R79Y-42,521.35,2,1042.7
20070719,BK-R79Y-48,612.33,1,612.33
20070719,BK-T44U-60,393.95,1,393.95
20070719,BK-T79Y-46,469.94,1,469.94
20070720,BK-M18S-48,76.59,1,76.59
20070720,BK-M18S-52,62.8,1,62.8
20070720,BK-M68B-38,700.06,3,2100.18
